nome,cpf,idade,salario,altura,peso
João Silva,123.456.789-09,29,3500,1.75,68
Maria Fernanda,987.654.321-00,34,4200,1.62,55
Carlos Eduardo,111.222.333-44,45,5500,1.85,80
Aline Costa,555.666.777-88,26,3100,1.6,53
Pedro Alcântara,999.888.777-66,37,4600,1.78,76
Fernanda Oliveira,222.333.444-55,41,4800,1.7,62
Ricardo Neves,888.777.666-55,39,5000,1.82,85
Tânia Gomes,444.555.666-77,28,3300,1.58,54
Marcos Aurélio,666.555.444-33,30,3600,1.76,70
Patrícia Nobre,777.888.999-00,25,2900,1.65,50
Roberto Carlos,333.444.555-66,48,6200,1.79,77
Sílvia Fontes,000.111.222-33,31,3900,1.74,60
Tiago Ramos,123.123.123-12,33,4300,1.68,76
Daniela Moraes,321.321.321-21,36,4500,1.63,57
Lucas Peixoto,213.213.213-31,38,4700,1.8,78
Camila Pereira,312.312.312-41,42,4900,1.69,64
André Luiz,234.234.234-23,29,3500,1.88,85
Juliana Vieira,432.432.432-34,40,5100,1.67,58
Antônio Figueiredo,654.321.123-45,47,5300,1.83,84
Sandra Mara,876.543.210-12,50,5600,1.66,72
